StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3_0_GROUP,Q3_0_1_RANK,Q3_0_2_RANK,Q3_0_3_RANK,Q3_0_4_RANK,Q3_0_5_RANK,Q3_0_6_RANK,Q3_0_7_RANK,Q3_0_8_RANK,Q3_0_9_RANK,Q3_0_10_RANK,Q3_0_11_RANK,Q3_0_12_RANK,Q4
2023-11-16 20:48:30,2023-11-16 20:49:16,IP Address,185.175.113.244,100,45,True,2023-11-16 20:49:17,R_2EERTYQjhkDbrao,,,,,51.509,-0.1882,anonymous,EN,7,6,1,5,3,2,4,"Copenhagen,Tokyo,New York,London,Shanghai",3,,4,,,1,,,5,2,,,Hong Kong
2023-11-16 18:48:04,2023-11-16 21:24:53,IP Address,216.205.163.67,100,9408,True,2023-11-16 21:24:54,R_3D0bdyGYCknyEEs,,,,,51.5088,-0.093,anonymous,EN,7,6,1,4,5,3,2,"London,Copenhagen,New York,Berlin,Paris",3,,1,4,5,2,,,,,,,"Munich, Germany"
2023-11-16 21:25:16,2023-11-16 21:26:14,IP Address,217.138.164.18,100,57,True,2023-11-16 21:26:14,R_3Rk12MhCpyhDNCc,,,,,51.509,-0.1882,anonymous,EN,7,2,4,6,3,1,5,"London,Singapore,Dubai,Copenhagen,Tokyo",,,1,,,4,3,2,,5,,,
2023-11-16 21:41:55,2023-11-16 21:43:29,IP Address,31.205.89.28,100,94,True,2023-11-16 21:43:29,R_W0dFWDTbUunV8Jj,,,,,51.5466,-0.1232,anonymous,EN,7,3,2,4,5,1,6,"Singapore,London,Copenhagen,Shanghai,Tokyo",,,2,,,3,,1,4,5,,,
2023-11-16 20:58:52,2023-11-16 22:46:45,IP Address,143.58.136.191,100,6472,True,2023-11-16 22:46:46,R_2RWfajAc8ubVil4,,,,,51.5064,-0.02,anonymous,EN,7,6,1,2,5,3,4,"San Francisco,Paris,New York,Sydney,Copenhagen",3,1,,,2,5,,,,,,4,Munich
2023-11-16 23:29:29,2023-11-16 23:30:57,IP Address,82.132.186.68,100,88,True,2023-11-16 23:30:58,R_3M0xQy7R1T5rjjP,,,,,53.7945,-1.5524,anonymous,EN,7,6,5,2,4,1,3,"Tokyo,Sydney,Shanghai,Berlin,Copenhagen",,,,4,,5,,,3,1,,2,
2023-11-17 00:13:51,2023-11-17 00:14:51,IP Address,82.33.147.132,100,59,True,2023-11-17 00:14:51,R_2wahrSi9akoX8VW,,,,,51.536,-0.0925,anonymous,EN,6,4,1,7,5,3,2,"London,Sydney,Paris,Shanghai,Dubai",,,1,,3,,5,,4,,,2,
2023-11-17 01:42:18,2023-11-17 01:43:58,IP Address,137.220.70.6,100,100,True,2023-11-17 01:43:58,R_2COrrZ5PyYx1We8,,,,,51.5026,-0.066,anonymous,EN,6,5,1,3,4,7,2,"Shanghai,London,Tokyo,New York,Singapore",4,,2,,,,,5,1,3,,,Beijing
2023-11-17 09:18:26,2023-11-17 09:19:54,IP Address,163.119.56.165,100,88,True,2023-11-17 09:19:55,R_1qWDry0MZxzyNY6,,,,,51.8613,-0.4656,anonymous,EN,6,3,1,7,5,2,4,"London,Dubai,Singapore,Mumbai,Berlin",,,1,5,,,2,3,,,4,,
2023-11-17 13:21:38,2023-11-17 13:22:52,IP Address,86.140.130.10,100,73,True,2023-11-17 13:22:52,R_WiAb8i9OOvxsPwB,,,,,51.696,-0.1735,anonymous,EN,7,5,1,4,6,3,2,"London,San Francisco,New York,Dubai,Mumbai",3,2,1,,,,4,,,,5,,
2023-11-17 13:30:27,2023-11-17 13:32:37,IP Address,2.218.232.62,100,129,True,2023-11-17 13:32:37,R_2yfjpXZKnSd1wAL,,,,,51.5081,-0.1278,anonymous,EN,3,7,2,4,1,5,6,"San Francisco,New York,Sydney,London,Paris",2,1,4,,5,,,,,,,3,Munich
2023-11-17 18:03:40,2023-11-17 18:07:01,IP Address,194.110.85.252,100,200,True,2023-11-17 18:07:02,R_1MKicgnS8asBGoB,,,,,49.6113,6.1294,anonymous,EN,7,5,1,4,3,6,2,"New York,London,San Francisco,Sydney,Copenhagen",1,3,2,,,5,,,,,,4,"Munich, Hamburg"
